coordinate_raw_axis_0,coordinate_raw_axis_1,coordinate_raw_axis_2,coordinate_atlas_axis_0,coordinate_atlas_axis_1,coordinate_atlas_axis_2,hemisphere
523,1914.11717268397,2007.65423064734,121,139,219,right
523,1863.77606535018,2318.49059180358,115,110,222,right
523,2077.92553781773,2340.06535208949,130,107,221,right
523,2056.35077753182,2330.4765697402,128,108,221,right
522,1738.3228296136,2292.9205055388,106,112,222,right
522,1763.09385068261,2083.56542424591,110,133,220,right
522,1616.86491985589,2264.15415849092,98,116,222,right
514,1984.35682870852,2464.15232372201,122,96,226,right
512,1871.52208162543,2097.49102759976,118,131,225,right
510,1921.49245640879,1905.99333349508,122,150,224,right
570,2028.64198234583,2383.36508755407,125,102,200,right
569,1826.4784878149,2325.03332826254,111,108,202,right
569,1979.09994020781,2707.78555703848,118,73,204,right
569,1679.45049179241,2536.78560514276,101,91,204,right
567,1816.88970546561,2516.8089752484,110,91,203,right
567,1792.91774959238,2474.45851987235,108,95,203,right
566,1869.62800838672,2388.15947872872,113,102,203,right
566,1853.64670447123,2302.65950278086,113,111,203,right
562,1693.03460012058,2544.7762571005,101,90,206,right
562,1977.50180981626,2184.39785380624,123,121,202,right
562,1879.21679073601,2677.42107959905,112,76,206,right
562,1752.16542460788,2585.528582085,105,86,206,right
560,1887.20744269376,2450.48656399912,115,97,206,right
560,1947.93639757261,2161.22496312879,122,123,204,right
561,1937.54855002754,2375.37443559633,118,103,205,right
560,1789.72148880928,2573.54260414838,107,86,207,right
560,1701.82431727409,2439.29965125828,102,99,206,right
557,1922.36631130783,2179.6034626316,119,122,205,right
557,1927.16070248248,2345.80902335267,119,107,206,right
557,1927.16070248248,2364.18752285548,119,104,206,right
557,1654.6794707234,2321.03800228367,100,110,207,right
557,1787.32429322196,2539.98186592585,107,89,208,right
557,1685.84301335861,2566.35101738641,100,87,208,right
557,1849.65137849236,2618.29025511175,111,83,208,right
557,1810.49718389941,2611.89773354555,108,83,208,right
557,1828.07661820645,2571.94447375683,109,86,208,right
556,1967.1139622712,2390.55667431604,121,102,207,right
555,2014.25880882189,2110.08479059922,127,128,205,right
545,1837.66540055574,2532.79027916388,111,90,213,right
546,1676.25423100931,2531.19214877234,100,91,214,right
556,1965.51583187965,2126.06609451471,123,127,205,right
573,1812.09531429096,2162.82309352033,112,124,198,right
576,1988.68872255711,2544.7762571005,121,88,199,right
572,1949.53452796416,2335.42117580761,120,107,199,right
569,1901.5906162177,2292.27165523579,117,111,201,right
568,1821.68409664025,2559.15943062444,109,87,203,right
568,1857.6420304501,2551.1687786667,112,88,203,right
563,1951.13265835571,2341.8136973738,120,107,204,right
561,1923.96444169938,2197.98196213441,119,120,204,right
561,1963.9177014881,2208.36980967948,122,119,204,right
554,1877.61866034446,2055.74835728656,118,134,206,right
552,1795.3149451797,2494.43514976671,108,94,210,right
